;;;;;;;;;;;;;;;;
6;Nr sklepu;Miasto;Kod pocztowy;Ulica;;Data dostawy;Data monta?u;Nr zamówienia;CSP;Wykonawca;;Nr Maszyny;;;;
Ruda Slaska;5193;Radzionków;41-922;ul. Unii Europejskiej 1;;aura;16.08.2024;PO24/09645;B/325193000124;Martin;;24102709;50,400260;18,902320;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Warszawa;6563;BRWINÓW;;JOWEJ 14;;aura;22.07.2024;PO24/13847;B/316563000124;Grzegorz;ok;24102554;52,142000;20,716000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Grudziadz;3866;Malbork;82-200;ul. Koszalinska 3;;aura;12.07.2024;PO24/13423;B/323866000124;Micha?;ok;24102580;54,035910;19,026600;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Kraków;5664;Kraków;31-236;ul. 29 Listopada 170;;aura;08.07.2024;PO24/13145;: B/315664000124;Marcin K;ok;24102614;50,061430;19,936580;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Sieradz;2904;Sieradz;98-200;ul. Kosciuszki 23A;;wys?a?;08.08.2024;PO24/16082;B/322904000124;Maciek;;24102675;51,595840;18,730230;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Ruda Slaska;4558;Lisowice;42-700;Luiniecka 1E;;2024-08-12/13;22.08.2024;PO24/18231;B/324558000123;Martin;;24102725;50,668000;18,684000;ten sam kod pocztowy z innych rekordów arkusza;?rednia z rekordów w arkuszu
Koszalin;7758;Trzebiatów;72 -320;Podmiejska 23;;12PONIEDZIA;14.08.2024;PO24/14214;B/387758000124;Dawid;;24103024;53,916500;15,200270;prefiks 3-cyfrowy kodu z arkusza;?rednia z rekordów w arkuszu
Lubin;2380;Zgorzelec;59-900;Grunwaldzka 1;;12PONIEDZIA;12.08.2024;PO24/15965;B/322380000124;Wiesiek;;24102727;51,149000;15,008000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Sosnowiec;2362;Pilica;42-436;Ul.Krakowska 31;;aura;16.08.2024;PO24/17483;B/322362000124;Martin;;24102724;50,468107;19,409193;prefiks 3-cyfrowy kodu z arkusza;?rednia z rekordów w arkuszu
Ruda Slaska;3613;Racibórz;47-400;ul. Reymonta16;;potwierdzona wysy?ka;19.08.2024;PO24/09616;B/323613000124;Martin;;24102673;50,092000;18,219000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Wyszków;7344;Soko?ów Podlaski;08-300;Repkowska);;dostarczy? 19;;PO24/11777;B/317344000122;Grzegorz;;24102629;52,406770;22,253070;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Warszawa;5389;Warszawa;01-716;Broniewskiego 58A;;POTWIERZONE 19 08;19.08.2024;PO24/18188;B/325389000124;Grzegorz;Maszyna zPolic;24100106;52,229770;21,011780;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Sosnowiec;7795;Zawiercie;42-400;Paderewskiego 45;;Czwartek;23.08.2024;PO24/15006;B/317795000124;Martin;;24102646;50,487660;19,416790;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Kraków;4712;Kielce;25-614;Ul. 1 maja 156;;Zamontowa?;;PO24/19175;B/35MSZC000124;grzegorz;;24102553;50,870330;20,627520;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Kraków;4567;Kielce;25-608;Jagiello?ska 25;;Zamontowa?;;PO24/19176;B/35MSZC000125;Grzegorz;;24103266;50,870330;20,627520;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Kraków;1770;Kielce;25-324;Sandomierska 89;;Zamontowa?;;PO24/19177;B/35MSZC000126;Grzegorz;;24103184;50,870330;20,627520;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Kraków;1814;Kielce;25-113;Wapiennikowa 40;;Zamontowa?;;PO24/19178;B/35MSZC000127;Grzegorz;;24103310;50,870330;20,627520;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Kraków;4668;Kielce;25-211;Wrzosowa 95;;Zamontowa?;;PO24/19179;B/35MSZC000128;Grzegorz;;24103050;50,870330;20,627520;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Ruda ?l?ska;4296;Gliwice;44-117;Toszecka 129;;potwierdzona wysy?ka;22.08.2024;PO24/16300;B/324296000124;Martin;;24102540;50,297610;18,676580;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
;2855;Murowana Go?lina;62-095;Poznaska 15;;POTWIERZONE 19 08;19.08.2024;PO24/18008;B/322855000124;Eltech;;24102667;52,356141;16,911196;prefiks 3-cyfrowy kodu z arkusza;?rednia z rekordów w arkuszu
;1376;Ko?cian;64-000;Ka?mierczaka 29;;POTWIERZONE 19 08;19.08.2024;PO24/17997;B/321376000124;Eltech;;24102706;52,081000;16,648000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Olsztyn;7574;Ostróda;14-100;ul. Górki 16;;Pi?tek;26.08.2024;PO24/13890;B/317574000123;Wizard;;24102647;53,696710;19,964860;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Kraków;5385;Kraków;31-334;?okietka 136;;aura;23.08.2024;PO24/16988;B/325385000124;mpad;;24102632;50,061430;19,936580;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Koszalin;3513;Pi?a;64-920;Pozna?ska 26;;Pi?tek;27.08.2024;PO24/15824;B/323513000124;szopinski;;24102458;53,151450;16,737820;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Wyszków;5215;Bia?ystok;15-501;Baranowicka 121;;Pi?tek;27.08.2024;PO24/18148;B/325215000224;zbyszek marchocki;;24102631;53,133330;23,164330;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Gorzów Wlkp.;7757;Stargard;73-110;Podle?na 3;;aura;09.09.2024;PO24/15690;B/317757000124;leopienkowski;ok;24102589;53,337000;15,050000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Lubin;4362;Jelenia Góra;58-500;Sudecka 42A;;Wysy?ka 2024-08-28 wtorek;30.08.2024;PO24/16368;B/324362000124;iweksw;;24103114;50,904000;15,735000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Wojnicz;7423;Strasz?cin 180;39-218;Strasz?cin 180;;w pon. wys?a? na 4.09;03.09.2024;PO24/15315;B/317423000124;zenek;;24102705;50,000800;21,360600;prefiks 3-cyfrowy kodu z arkusza;?rednia z rekordów w arkuszu
Warszawa;5106;Warszawa;04-076;Waszyngtona 96;;wysy?ka na 09.09;09.09.2024;PO24/18193;B/325106000123;grzegorz;;24103158;52,229770;21,011780;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Lubartów;5886;Samborzec 50;27-650;Samborzec 50;;pon monta?;09.09.2024;PO24/20281;B/325886000124;mazurek;;24103057;50,682650;21,748980;prefiks 3-cyfrowy kodu z arkusza;?rednia z rekordów w arkuszu
Brzeg;5812;Jelcz-Laskowice;55-220;Sowia 7;;wysy?ka 04.09 monta? na 6.09;05.09.2024;PO24/18230;B/325812000124;wiesiek;;24103165;51,021340;17,316490;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Koszalin;3029;S?upsk;76-200;Koszali?ska 11;;Pi?tek;26.08.2024;PO24/15955;B/323029000124;rekord8;;24102495;54,464000;17,028000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Gda?sk;5245;Tr?bki Wielkie;83-034;Gda?ska 29;;wysy?ka 03.09;04.09.2024;PO24/18457;B/325245000123;rekord8;;24103063;54,261000;18,623400;prefiks 3-cyfrowy kodu z arkusza;?rednia z rekordów w arkuszu
Wojnicz;7647;Nowy S?cz;33-300;ul. Dojazdowa 7;;aura;12.09.2024;PO24/15306;B/317647000123;;;24102788;49,621770;20,697050;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Warszawa;4977;Warszawa;02-697;Rzymowskiego 28;;aura;19.09.2024;PO24/18653;B/324977000124;Grzegorz;;24102046;52,229770;21,011780;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Warszawa;5143;Warszawa;00-864;Krochmalna 2;;aura;16.09.2024;PO24/18655;B/325143000124;Grzegorz;;24101886;52,229770;21,011780;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Lubartów;2575;Staszów;28-200;ul. Kolejowa 38a;;aura;12.09.2024;PO24/18484;B/322575000124;jarek;;24102077;50,563070;21,165930;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Wyszków;5220;Bialystok;15-375;ul. Kaczorowskiego 7;;aura;13.09.2024;PO24/19656;B/325220000124;Grzegorz;ok;24101876;53,133330;23,164330;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Gda?sk;4256;Gdynia;81-168;Rymarska 42;;czwartek wys?ac;30.08.2024;PO24/18372;B/324256000123;rekord8;;24103160;54,518890;18,531880;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Bydgoszcz;2600;Bydgoszcz;85-010;Dworcowa 46;;wysy?ka 06.09 , monta? na 09.09;06.09.2024;PO24/18198;B/322600000124;karol poznanski;;24103078;53,123500;18,007620;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Gorzów Wlkp;2245;Gorzów Wlkp;66-400;Poplawskiego 72;;ZAMÓWIENIE NA SKLEP B 5290;16-20.09.2024;PO24/21916;B/325290000125;Krystian;;24102380;52,248810;15,377565;prefiks 2-cyfrowy kodu z arkusza;?rednia z rekordów w arkuszu
Koszalin;7756;Goleniów;72-100;Wojska Polskiego 53 B;;aura;16.09.2024;PO24/14539;B/317756000123;leopienkowski;;24102074;53,563920;14,828540;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Lublin;2084;Zgorzelec;59-900;Luba?ska 10B;;aura;13.09.2024;PO24/17724;B/322084000124;wiesiek;;24100467;51,149000;15,008000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Lublin;2099;?cinawa;59-330;W. Jagie??y 69;;aura;13.09.2024;PO24/17672;B/322099000124;Wiesiek;;24102064;51,134981;15,562182;prefiks 2-cyfrowy kodu z arkusza;?rednia z rekordów w arkuszu
Lubartów;1667;Lublin;20-095;Sapiehy 2;;aura;11.09.2024;PO24/20261;B/321667000123;Jarek;;24102071;51,247000;22,568000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Brzeg;2993;Strzelce Opolskie;47-100;Gogoli?ska 31;;aura;23.09.2024;PO24/21535;B/322993000124;Martin;;24102214;50,510700;18,300560;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Ruda ?l?ska;7887;D?browa Górnicza;41-300;Sobieskiego;;aura;20.09.2024;PO24/15044;B/317887000224;Martin;;24102062;50,333940;19,204790;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Sosonowiec;5222;Katowice;40-081;D?brówki 13;;aura;24.09.2024;PO24/21865;B/325222000124;martin;;24102086;50,258410;19,027540;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Sieradz;7413;Krzepice;42-160;ul. Dolna 26;;wys?a? pi?tek;10.09.2024;PO24/13765;B/317413000123;martin;;24103297;50,563565;19,129375;prefiks 2-cyfrowy kodu z arkusza;?rednia z rekordów w arkuszu
Grudzi?dz;2561;Gniew;83-140;Ul. Ko?ciuszki 10;;aura;23.09.2024;PO24/19978;B/322561000124;rekord8;;24102364;54,092000;18,777000;prefiks 3-cyfrowy kodu z arkusza;?rednia z rekordów w arkuszu
Sieradz;3381;Piotrków Trybunalskich;97-300;Wojska Polskiego 24;DC14 sieradz week 32;aura;13.09.2024;PO24/19570;B/323381000124;Maciek;;24102067;51,531310;20,008550;prefiks 2-cyfrowy kodu z arkusza;?rednia z rekordów w arkuszu
Wyszków;7664;Bielsk Podlaski;17-100;Bra?ska 63;;aura;23.09.2024;PO24/14745;B/317664000124;zbyszek M;ok;24102676;52,765120;23,186470;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Kraków;7876;Lipnica Wielka;33-323;Lipnica Wielka 198e;;aura;24.09.2024;PO24/13997;B/317876000124;mpad;;24102363;49,555327;20,747038;prefiks 3-cyfrowy kodu z arkusza;?rednia z rekordów w arkuszu
Mszczonów;2550;Teresin;95-515;ul. Pólnocna;;aura;23.09.2024;PO24/14562;B/312550000124;Grzegorz;;24102593;51,854544;19,464258;prefiks 2-cyfrowy kodu z arkusza;?rednia z rekordów w arkuszu
Wyszków;4869;Warszawa;04-187;ul. Deblinska 2;;aura;26.09.2024;PO24/18445;B/324869000124;Grzegorz;;24102365;52,229770;21,011780;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Olsztyn;2303;Ciechanów;06-400;ul. Sienkiewicza 79;;aura;30.09.2024;PO24/22200;B/322303000124;Grzegorz;;24102079;52,881000;20,620000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Warszawa;7607;Warszawa;00-849;ul. PERECA 13/19;;aura;25.09.2024;PO24/22246;B/317607000224;grzegorz;;24102096;52,229770;21,011780;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Grudzi?dz;2349;E?k;19-300;ul. Sikorskiego 18;;aura;23.09.2024;PO24/22168;B/322349000224;wizard;;24102129;53,828240;22,364690;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Warszawa;4884;Warszawa;;ul. Bokserska 61;;poprzednia: 18103437 workshop WRÓCI?A DO JAC;2022;;;;poprzednia: 18103437 workshop;obecna: 23103565;52,229770;21,011780;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Lubartów;7439;D?blin;08-530;St??ycka 78;;aura;01.10.2024;PO24/14295;B/317439000123;Grzegorz;;24102529;51,559120;21,848290;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Lubartów;7439;D?blin;08-530;St??ycka 78;;aura;01.10.2024;PO24/14295;B/317439000123;Grzegorz;;24102529;51,559120;21,848290;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Brzeg;7631;Mi?oszyce;55-220;Wroc?awska 5D;;aura;26.09.2024;PO24/15550;B/317631000223;iweksw;;24102245;51,021340;17,316490;ten sam kod pocztowy z innych rekordów arkusza;?rednia z rekordów w arkuszu
Lubin;2645;Wa?brzych;58-300;Ul. Moniuszki 34;;aura;26.09.2024;PO24/17902;B/322645000124;iweksw;;24102168;50,771410;16,284320;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Mszczonów;6388;Opoczno;26-300;ul. Inowlodzka;;aura;01.10.2024;PO24/22211;B/326388000124;Grzegorz;;24102288;51,375690;20,278270;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Mszczonów;4317;Opoczno;26-300;ul. Piotrkowska 83-89;;aura;01.10.2024;PO24/22212;B/324317000124;Grzegorz;;24102652;51,375690;20,278270;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Lubin;4219;Miejska Górka;63-910;Ul. Plac 700-lecia 4;;aura;27.09.2024;PO24/17792;B/324219000124;iweksw;;24102113;51,750962;17,605827;prefiks 2-cyfrowy kodu z arkusza;?rednia z rekordów w arkuszu
Kostrzyn;7719;Baranowo;62-081;ul. Pozna?ska 12 (Rolna);;aura;25.09.2024;PO24/15623;B/317719000224;eltech;;24102252;52,447000;16,786000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Wojnicz;2981;Stary S?cz;33-340;Ul.Pi?sudskiego 166;;aura;23.09.2024;PO24/21805;B/322981000124;mpad;;24102290;49,555327;20,747038;prefiks 3-cyfrowy kodu z arkusza;?rednia z rekordów w arkuszu
Koszalin;5992;Borne Sulinowo;78-449;Niepodleg?o?ci 43 A;;aura;25.10.2024;PO24/18259;B/325992000124;Grzegorz;;24102708;53,726455;16,527185;prefiks 3-cyfrowy kodu z arkusza;?rednia z rekordów w arkuszu
Sosnowiec;5308;Kozy;43-340;Ul. Bielska 31 A;;aura;04.10.2024;PO24/13827;B/325308000124;Martin;;24102143;49,822450;19,046860;prefiks 3-cyfrowy kodu z arkusza;?rednia z rekordów w arkuszu
Kraków;2198;Kraków;31-422;Ul. Powsta?ców 3;;aura;03.10.2024;PO24/22763;B/322198000224;mpad;;24102142;50,061430;19,936580;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Brzeg;4462;Wroc?aw;54-440;Rogowska 119;;aura;07.10.2024;PO24/22005;B/324462000124;iweksw;;24102728;51,100000;17,033330;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Lubartów;2881;?elechów;08-430;Ul. D?uga 38;;aura;07.10.2024;PO24/25049;B/322881000124;Grzegorz;;24102590;51,972090;22,105954;prefiks 2-cyfrowy kodu z arkusza;?rednia z rekordów w arkuszu
Lubartów;3525;Bia?a Podlaska;21-500;Warszawska 34/38;;aura;;PO24/24278;B/323525000124;Grzegorz;;24103116;52,032380;23,116520;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Warszawa;1179;Piastów;05-820;ul. Wysockiego 3A;;aura;11.10.2024;PO24/10597;B/321179000124;Grzegorz;;24103056;52,184350;20,839520;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Olsztyn;2851;Sejny;16-500;Ul. 1 maja 6;;aura;17.10.2024;PO24/19132;B/322851000124;grzegorz;;24102761;53,922597;23,020206;prefiks 2-cyfrowy kodu z arkusza;?rednia z rekordów w arkuszu
Wyszków;1728;Augustów;16-300;Chreptowicza 15;;aura;18.10.2024;PO24/23768;B/321728000324;grzegorz;;24102844;53,843210;22,979790;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Warszawa;1908;Warszawa;01-493;SZADKOWSKIEGO 3A;;aura;;PO24/23112;B/321908000124;Grzegorz;;24103164;52,229770;21,011780;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Sieradz;1425;?ódz;91-312;ul. Tuwima 3;;aura;16.10.2024;PO24/22851;B/321425000124;grzegorz;;24102378;51,770580;19,473950;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Wojnicz;7706;Po?a?czyk;38-610;Berezka 28c;;aura;18.10.2024;PO24/15330;B/317706000124;zenek;;24102885;49,668989;21,575326;prefiks 2-cyfrowy kodu z arkusza;?rednia z rekordów w arkuszu
Lubin;5291;Strzegom;58-150;Ul. Wojska Polskiego 80f;;aura;14.10.2024;PO24/17853;B/325291000124;iweksw;;24102872;50,962640;16,350060;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Grudziadz;2464;Bydgoszcz;85-239;ul. Grunwaldzka 37;;aura;11.10.2024;PO24/16636;B/322464000124;Poznanski;;24102874;53,123500;18,007620;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Kraków;1696;Kraków;30-611;Ul. Wys?ouchów 22A;;aura;11.10.2024;PO24/21584;B/321696000124;mpad;;24102763;50,061430;19,936580;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Gda?sk;5343;Gdynia;81-386;Bema 22/24;;aura;15.10.2024;PO24/19007;B/325343000124;rekord8;;24103162;54,518890;18,531880;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Grudzi?dz;5340;Bartoszyce;11-201;Ul. Bema 40c;;aura;11.10.2024;PO24/20483;B/325340000323;wizard;;24102881;54,253540;20,808190;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Grudziadz;7232;Torun;87-100;ul. Grudziadzka /Ul. Forteczna 9/10;;aura;08.10.2024;PO24/14452;B/317232000121;Karol;;24103130;53,013750;18,598140;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Grudziadz;5306;Bydgoszcz;85-796;ul. W.Andersa 2;;aura;11.10.2024;PO24/22737;B/325306000123;Poznanski;;24102917;53,123500;18,007620;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Grudziadz;3508;Kutno;99-300;ul. Lakoszynska 166;;aura;;PO24/22731;B/323508000124;Grzegorz;;24104174;52,230640;19,364090;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Kostrzyn;7874;Ko?cian - Kurza Góra;64-000;ul. Gosty?ska 104;;aura;24.10.2024;PO24/15615;B/317874000124;grzegorz;;24102747;52,081000;16,648000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Kosztrzyn;7565;Pozna?;60-649;Pi?tkowska 78C;;aura;;PO24/25856;B/387565000122;grzegorz;;24102757;52,406920;16,929930;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Brzeg;2143;Ole?nica;56-400;3 Maja 39-39a);;aura;21.10.2024;PO24/23522;B/322143000124;Wiesiek;;24104192;51,213380;17,389860;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Brzeg;3761;K?odzko;57-300;?l?ska 19;;aura;21.10.2024;PO24/26135;B/323761POW0124;Wiesiek;;24104170;50,434880;16,661450;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Gda?sk;5963;Gda?sk;80-376;Ul. Czerwony Dwór 24;;aura;18.10.2024;PO24/20885;B/325963000124;rekord8;;24103077;54,352270;18,649120;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Kostrzyn;7433;?rem;63-100;Kolejowa 1a;;aura;23.10.2024;PO24/15593;B/317433000124;grzegorz;;24104177;52,088680;17,015080;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Mszczonów;5175;G?owno;95-016;ul. Sikorskiego 59;;aura;21.10.2024;PO24/22265;B/325175000124;Maciek;;24103117;51,964630;19,715650;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Sosnowiec;3970;Wadowice;34-100;Wa?owa 3;;aura;18.10.2024;PO24/25292;B/323970000124;Martin;;24103298;49,883350;19,492920;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Ruda ?l?ska;3135;Brenna;43-438;Ul. Wozwolenia 38B;;aura;21.10.2024;PO24/22404;B/323135000124;Martin;;24103135;49,759903;18,701360;prefiks 3-cyfrowy kodu z arkusza;?rednia z rekordów w arkuszu
Gda?sk;5722;Gda?sk;80-171;Ul. Beethovena 11A;;aura;18.10.2024;PO24/20902;B/325722000124;rekord8;;24102750;54,352270;18,649120;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Ruda ?l?ska;2325;Ruda ?l?ska;41-709;(ul. Planty Kowalskiego 1;;aura;21.10.2024;PO24/21512;B/322325000124;Martin;;24103186;50,258400;18,856320;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Koszalin;2665;Karlino;78-230;Koszali?ska 85;;aura;do wys?ania;PO24/27017;B/35KOSZ000124;Grzegorz;;24102379;54,006960;15,987510;prefiks 3-cyfrowy kodu z arkusza;?rednia z rekordów w arkuszu
Sieradz;5445;?ód?;92-101;Ul. Krokusowa 1;;aura;26.09.2024;PO24/20155;B/325445000224;elmak;;24102305;51,770580;19,473950;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Sieradz;5425;?ód?;94-054;Ul. Kusoci?skiego 137;;aura;09.09.2024;PO24/17636;B/325425000122;elmak;;24103328;51,770580;19,473950;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Koszalin;5261;Wa?cz;78-600;D?browskiego 28;;aura;do wys?ania;PO24/27018;B/35KOSZ000124;Grzegorz;;24102707;53,273000;16,471000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Koszalin;4673;Okonek;64-965;Niepodleg?o?ci 29c;;aura;do wys?ania;PO24/27019;B/35KOSZ000124;Grzegorz;;24102236;53,151450;16,737820;prefiks 3-cyfrowy kodu z arkusza;?rednia z rekordów w arkuszu
Wyszków;2566;Nasielsk;05-190;Elektronowa 3H;;aura;28.10.2024;PO24/23026;B/322566000124;Grzegorz;;24102733;52,590000;20,806000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Olsztyn;7452;M?awa;06-500;ul. Plocka 130;;aura;29.10.2024;PO24/20192;B/317452000124;Grzegorz;;24102746;53,112780;20,384100;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Wojnicz;5885;D?bica;39-200;ul. Podd?by 15;;aura;28.10.2024;PO24/24649;B/325885000224;bakeryservice;;24102836;50,051000;21,411000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Wojnicz;5740;Piwniczna Zdrój;33-350;ul. Zagrody 2;;aura;28.10.2024;PO24/26107;B/325740000124;bakeryservice;;24102755;49,555327;20,747038;prefiks 3-cyfrowy kodu z arkusza;?rednia z rekordów w arkuszu
Koszalin;1393;S?upsk;76-200;Pl. D?browskiego 3;;aura;25.10.2024;PO24/24640;B/321393000124;rekord8;;24104183;54,464000;17,028000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Brzeg;2169;Nowa Ruda;57-402;Ul. S?upiecka 7A;;aura;29.10.2024;PO24/21137;B/322169000124;iweksw;;24102873;50,580080;16,501640;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Gda?sk;3479;Rumia;84-232;D?bogórska 132;;aura;29.10.2024;PO24/19025;B/323479000122;rekord8;;24102805;54,570920;18,388020;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Wyszków;3483;E?k;19-300;Kolonia 18A;;aura;29.10.2024;PO24/14908;B/313483000123;Marchocki;;24104165;53,828240;22,364690;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Ruda ?l?ska;1545;Czerwionka-Leszczyny;44-230;Ul. Jana Paw?a II 3;;aura;29.10.2024;PO24/23771;B/321545000124;Martin;;24104193;50,150070;18,677620;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Ruda ?l?ska;1664;Skoczów;43-430;Fabryczna;;aura;29.10.2024;PO24/25315;B/321664000124;martin;;24104158;49,759903;18,701360;prefiks 3-cyfrowy kodu z arkusza;?rednia z rekordów w arkuszu
Kraków;3207;Bia?ka Tatrza?ska;34-405;Ul. ?rodkowa 294A;;aura;31.10.2024;PO24/21015;B/323207000122;mpad;;24102729;49,895212;19,264320;prefiks 2-cyfrowy kodu z arkusza;?rednia z rekordów w arkuszu
Szczecin;4201;Szczecin;71-784;Ul. Maciejkowa 37/1;;aura;28.10.2024;PO24/20958;B/324201000124;LeoPienkowski;;24104181;53,429000;14,553000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Wojnicz;3023;Jaros?aw;37-500;Zamkowda 3D;;aura;04.11.2024;PO24/26822;B/323023000124;Zenek;;24102845;50,016230;22,677760;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Warszawa;3210;Warszawa;01-904;Marii D?browskiej 15;;aura;04.11.2024;PO24/24983;B/323210000125;Grzegorz;;24104191;52,229770;21,011780;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Kostrzyn;7611;Gosty?;63-800;Polna 62;;aura;05.11.2024;PO24/15626;B/317611000124;jwurst;;24104134;51,882470;17,012250;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
