;;;;;;;;;;;;;;;;
6;Nr sklepu;Miasto;Kod pocztowy;Ulica;;Data dostawy;Data monta?u;Nr zamówienia;CSP;Wykonawca;;Nr Maszyny;;;;
Warszawa;1431;Warszawa;;ul. Swietlików 9;;;22.12.2022;PO22/27555;B/321431000122;Grzegorz;OK;22105738;52,229770;21,011780;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Ruda ?l?ska;7577;Dabrowa Górnicza;41-300;Pilsudskiego;;;;PO22/30301;B/317577000123;Martin;OK;22105745;50,333940;19,204790;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Ruda Slaska;7441;Godów;44-340;1 maja;;;;PO22/31045;B/317441000122;Martin;OK;22105805;49,924000;18,478000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Grudzi?dz;5062;Inowroclaw;88-110;ul. Sw. Ducha 48;;;26.10.2022;PO22/25182;B/325062000222;Grzesiek;OK;22103950;52,798860;18,263870;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Grudzi?dz;7425;Kwidzyn;82-500;Malborska;;05.01.2022;05.01.2022;PO22/29964;B/317425000122;Grzesiek;OK;22105833;53,724950;18,931140;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Grudziadz;5146;W?oclawek;87-812;ul. Kaliska 9/15;;05.01.2022;05.01.2022;PO22/26871;B/325146000121;Grzesiek;OK;22105587;52,648170;19,067800;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Grudziadz;2686;Bydgoszcz;85-861;Magnuszewska 6;;05.01.2022;05.01.2022;PO22/26936;B/35GRUD000122;Grzesiek;OK;22105749;53,123500;18,007620;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Grudziadz;7458;Grudziadz;86-300;ul. Paderewskiego;;05.01.2022;05.01.2022;PO22/27460;B/317458000122;Grzesiek;OK;22105790;53,484110;18,753660;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Kraków;7375;Kraków;34-713;Skawa DK 77;;05.01.2022;14.01.2023;PO22/24873;B/317375000122;Martin;OK;22105434;50,061430;19,936580;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Sieradz;4644;?ód?;91-030;ul. Woronicza 1;;19.01.2023;23.01.2023;PO22/23411;B/324644000122;Grzesiek 6;OK;23100125;51,770580;19,473950;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Sieradz;5103;?ód?;91-497;ul. Sikorskiego 12;;19.01.2023;23.01.2023;PO22/23436;B/325103000122;Grzesiek 5;OK;23100118;51,770580;19,473950;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Sieradz;7566;Konin;62-510;Pozna?ska 200;;19.01.2023;23.01.2023;PO22/28857;B/317566000222;Grzesiek 7;OK;23100103;52,223380;18,251210;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Grudzi?dz;5359;Starogard Gdanski;83-200;Ul. Zielona 14;;;28.01.2023;PO22/27157;B/325359000122;Grzegorz;OK;23100156;53,963960;18,526380;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Grudzi?dz;5393;Chelm?a;87-140;ul. Chelminskie Przedmiescie 13-15;;;28.01.2023;PO22/26467;B/325393000122;Grzegorz;OK;23100138;53,184630;18,604660;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Grudzi?dz;7522;?wiecie;86-100;Sobieskiego;;;28.01.2023;PO22/29224;B/317522000123;Grzegorz;OK;23100139;53,409530;18,447420;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Gda?sk;B7392;W?adys?awowo;84-120;ul. Morelowa 1;;19.01.2023;09.02.2023;PO22/30326;B/317392000122;Micha?;OK;23100123;54,791000;18,405000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Gda?sk;1920;Gda?sk;80-266;Z. Na?kowskiej 1A;;19.01.2023;30.01.2023;PO22/30652;B/317480000122;Micha?;OK;23103472;54,352270;18,649120;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Grudzi?dz;4961;Dywity;11-001;Je?ynowa;;31.01.2023;31.01.2023;PO22/27382;B/314961000121;?uasz;OK;23100363;53,838000;20,479000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Grudzi?dz;7332;Z?otniki Kujawskie;88-180;ul. Szosa Bydgoska;;01.02.2023;01.02.2023;PO22/27400;B/317332000122;Grzegorz;OK;23100272;52,895000;18,145000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Grudzi?dz;4707;Brzoza;86-061;ul. Bydgoska 34/1;;01.02.2023;01.02.2023;PO22/28548;B/324707000122;Grzegorz;OK;23100334;53,027000;18,045000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Grudzi?dz;3553;Olsztyn;10-687;ul. Bart?ska 1;;31.01.2023;31.01.2023;PO22/29473;B/323553000122;?ukasz;OK;23100331;53,778000;20,480000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Sosnowiec;5945;Myszków;42-300;Kwiatkowskiego 1;;13.02.2023;17.02.2023;PO22/30095;B/315945000122;Martin;OK;23100521;50,575200;19,324610;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Wojnicz;7318;Markowa;37-120;Markowa 164;;02.02.2023;09.02.2023;PO22/27134;B/317318000122;Zenek;OK;23100296;50,027000;22,331000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Wojnicz;7502;Tuchów;33-170;mickiwicza 73;;02.02.2023;06.02.2023;PO22/27147;B/317502000322;Zenek;OK;23100259;49,894000;21,054000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Wojnicz;7582;Tarnów;33-100;Dabrowskiego 10;;02.02.2023;06.02.2023;PO22/24951;B/317582000122;Zenek;OK;23100293;50,013810;20,986980;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Wojnicz;7578;Mielec;39-300;Zeromskiego 15;;02.02.2023;09.02.2023;PO22/28535;B/317578000122;Zenek;OK;23100332;50,287090;21,423900;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Koszalin;7564;S?upsk/Boles?awice;76-251;Oliwkowa 1;;01.02.2023;06.02.2023;PO22/30327;B/35KOSZ000122;Dawid;OK;23100304;54,464000;17,028000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Koszalin;6357;Slupsk;76-200;Wolnosci 5;;01.02.2023;06.02.2023;PO22/31432;B/326357000122;Dawid;OK;23100361;54,464000;17,028000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
